"United States Census 1990",,,
Age,Both Sexes,Male,Female
0-4,7.37,7.75,7.02
5-9,7.28,7.64,6.93
10-14,6.88,7.24,6.55
15-19,7.14,7.51,6.80
20-24,3.82,3.98,3.66
25-29,4.30,4.41,4.17
30-34,4.39,4.48,4.31
35-39,4.01,4.08,3.94
40-44,3.54,3.58,3.49
45-49,2.78,2.81,2.77
50-54,2.28,2.27,2.29
55-59,2.12,2.08,2.16
60-64,2.13,2.04,2.22
65-69,2.02,1.86,2.18
70-74,1.61,1.41,1.79
75-79,1.23,0.99,1.45
80-84,0.80,0.56,1.00
85-89,0.41,0.25,0.57
90-94,0.15,0.08,0.23
95-99,0.04,0.02,0.07
100+,0.01,0,0.01
